,IV. CHIẾN LƯỢC CONTENT - TOPICAL MAP,,
DẠNG CONTENT,CHI TIẾT,Posts mapped,Funnel stage
Content kéo traffic (Top of Funnel),"Mục đích: bắt informational + question-style queries. Target: broad awareness; build topical authority. Format: 1500-3000w long-form explainers; pillar guides; phase deep-dives. KPI: GSC impressions + indexed pages.","#1 what-is-cycle-syncing; #6 does-cycle-syncing-work; #7 how-does-cycle-syncing-work; #12-15 phase deep-dives; #14 menstrual; #17 late-luteal; #18 follicular-deep-work; #20 meal-timing","Unaware → Problem aware → Solution aware"
Content chuyển đổi (Middle of Funnel),"Mục đích: capture commercial-investigation intent. User comparing tools/methods. Format: comparison posts; review posts; ""best of"" lists. KPI: Calculator signups; affiliate clicks.","#5 best-cycle-syncing-app; #10 schedule-template; #11 free-apps-compared; #19 apps-privacy","Product aware"
Content nuôi dưỡng (Bottom of Funnel),"Mục đích: convince + retain. Đối tượng đã biết product. Format: case studies; cornerstone pillar articles; 90-day plans; founder story. KPI: Email signups; return visits.","#9 beginner-plan (4-week); #16 cycle-syncing-ambitious-women (pillar); #21 cycle-syncing-executives-90-day","Converting (Justification)"
Content phòng thủ (Defensive),"Mục đích: rank cho skeptical queries thay vì để Tom's Guide / Healthline rank. Format: evidence-graded analysis. KPI: top 10 cho ""is X legit"" queries.","#2 is-cycle-syncing-legit; #6 does-cycle-syncing-work","Problem aware"
Content edge-case (Long tail),"Mục đích: capture niche queries với low competition. Format: 1500-2000w focused. KPI: Long-tail rankings; cross-link traffic.","#8 birth-control; #17 late-luteal; #18 follicular-deep-work","Problem aware → Solution aware"
,,,
,Topical Map by Hub-Spoke,,
HUB,SPOKES,,
#1 what-is-cycle-syncing (hub head),"#2 is-cycle-syncing-legit; #3 how-to-start; #6 does-it-work; #7 how-does-it-work",,
#4 cycle-syncing-chart (phase hub),"#12 follicular-guide; #13 luteal-guide; #14 menstrual-guide; #15 ovulatory-guide",,
#5 best-cycle-syncing-app (commercial hub),"#11 free-apps-compared; #19 apps-privacy",,
#12 follicular-phase-guide (phase hub),"#18 follicular-deep-work",,
#13 luteal-phase-guide (phase hub),"#17 late-luteal-survival",,
#16 ambitious-women (pillar),"#21 executives-90-day; #18 follicular-deep-work",,
,,,
,AIDA Funnel — 5 levels (Schwartz / Joy template),,
Level,Awareness state,Content strategy,Lumen posts
Unaware ❄️,User doesn't know cycle syncing exists. Has symptoms but no category for solution.,"Phase 4 territory. Diet/workout entry queries. Currently OFF positioning.","(none currently — Phase 4 unlock)"
Problem aware 🔥,User has symptoms (PMS; energy crashes; productivity dips) but doesn't know cycle syncing as solution category.,"Symptom + skepticism content. ""does X work?"" + ""is X legit?"" + ""why am I X""","#2 #6 #7 #8 #17"
Solution aware 🔥,User knows cycle syncing. Researching how it works + how to start.,"Pillar explainers + getting-started + phase guides","#1 #3 #9 #12 #13 #14 #15 #18 #20"
Product aware 🥵,User comparing apps + tools.,"Best-of lists + comparison posts + privacy angle","#4 #5 #10 #11 #19"
Converting (Justification) 🥵,User decided. Defending choice to self/others. Wants validation + advanced playbook.,"Cornerstone pillars + executive playbooks + case studies","#16 #21"
,,,
,Content Calendar pacing,,
Phase 1 (May 2026),"Posts #6-9 (already shipped) + #10-11 (Test E gate week)",,
Phase 2 (May-Jun 2026),"Posts #12-15 (4 phase deep-dives) — Tier 2 hub-spoke buildout",,
Phase 3 (Jun 2026),"Posts #16-21 (cornerstone + edge cases) — full topical map",,
Phase 4 (Jul 2026+),"IF Test E passes: Diet/workout cluster (16 backlog keywords)",,
