STT,II.1 TỐI ƯU WEBSITE (TỐI ƯU ONSITE) Task công việc,Mô tả Task,Tình trạng,Hành động
1,Tạo XML Sitemap,"XML Sitemap là bản đồ dành cho Googlebot. Cung cấp thông tin các trang; bài viết; video cho công cụ tìm kiếm.",Đã có & đã submit GSC + Bing,"Verify sitemap auto-regenerate khi ship post mới (Next.js app/sitemap.ts hoặc next-sitemap). Submit lại GSC mỗi khi ship batch."
2,Robots.txt,"Robots.txt điều hướng bot. Quyết định trang nào được crawl; trang nào không.",Cần audit,"Verify file có ở public/robots.txt. Cần allow: /; disallow: /api/; /tmp/. Reference sitemap: Sitemap: https://lumencal.com/sitemap.xml"
3,Kiểm tra link out,"External link cần kiểm soát. Affiliate link và citation phải có rel attribute đúng.",Một phần,"Audit: affiliate links phải có rel='sponsored nofollow'. Editorial citations dùng rel='noopener'. AffiliateDisclosure component đã có - verify deploy."
4,Cài Schema,"Structured data giúp Google hiểu thực thể website + content.",Cần audit/bổ sung,"Add Article schema cho mọi blog post. FAQPage schema cho posts có FAQ section. Organization + WebSite schema cho home. BreadcrumbList schema cho navigation."
5,Kiểm tra Open Graph,"Tag og:title; og:description; og:image cho social share preview.",Cần audit,"Verify mỗi page có og:title; og:description; og:image (1200x630). Check default trong layout.tsx. Test với Facebook Sharing Debugger + Twitter Card Validator."
6,Thẻ Language,"Xác định ngôn ngữ website cho Google + accessibility.",Đã có (en),"Verify <html lang='en'> trong root layout. Set canonical cho mỗi page."
7,Favicon,"Hình ảnh tab browser.",Đã có,"Verify favicon.ico + apple-touch-icon ở public/. Check 192x192 + 512x512 manifest icons."
8,Non-WWW và WWW,"Chọn 1 version canonical; redirect version còn lại.",Đã có (non-www),"Verify Vercel config redirect www → non-www (hoặc reverse). Set canonical trong meta."
9,Cài SSL,"HTTPS bắt buộc cho YMYL niche.",Đã có (Vercel auto),"Verify HSTS header. Optional: preload list submission."
10,Cấu trúc đường dẫn,"URL slug clean; lowercase; hyphen-separated; không có stop words.",Đã tối ưu,"Format /blog/{slug-kebab-case}. Verify không có /blog/2026/05/post-name (date in URL - bad practice)."
11,Trang 404 tùy chỉnh,"Custom 404 page giữ user trong site.",Cần audit,"Check app/not-found.tsx tồn tại. Page nên có: search; popular posts link; back-to-home CTA."
12,Sử dụng breadcrumb,"Navigation breadcrumb + schema giúp Google hiểu hierarchy.",Cần audit/add,"Add BreadcrumbList JSON-LD schema. Visible breadcrumb component trong blog layout: Home > Blog > [Post title]."
13,Hiển thị ngoài Google,"site:lumencal.com - xem có bao nhiêu trang đã index.",Đang index,"Run site:lumencal.com weekly. Track indexed page count trong GSC. Investigate nếu page bị 'Crawled - currently not indexed'."
14,Page speed (Core Web Vitals),"LCP / INP / CLS - Google ranking factor.",Đã tối ưu (Next.js static),"Monthly Lighthouse audit. Target LCP <2.5s; CLS <0.1; INP <200ms. Track trong GSC Core Web Vitals report."
15,Mobile-first,"Google index mobile version trước.",Đã có (Tailwind responsive),"Verify mobile UX cho mọi blog post. Test touch targets ≥48px. Run mobile-friendly test."
16,Internal linking,"Hub-spoke architecture tăng topical authority.",Đang build,"Implement: hub posts (what-is; cycle-syncing-chart) link xuống tất cả spokes. Spokes link về hub + sibling spokes. Target ≥3 internal links / post."
17,Image SEO,"Alt text + descriptive filename + WebP format.",Cần audit,"Audit alt text cho 9 posts đã publish. Convert images sang WebP/AVIF (Next.js Image auto). Lazy load below fold."
