,1. Thông tin,KẾ HOẠCH SƠ BỘ SEO BRANDING - [Lumencal] GIỚI THIỆU THÔNG TIN DỰ ÁN,,,
,1,Tên app,Lumencal,,
,2,Trang web,https://lumencal.com,,
,3,Thời gian triển khai,1/5/2026 - 31/12/2026,,
,4,Niche,Cycle syncing / Women's health productivity,,
,5,Positioning,Productivity-focused (NOT diet/fitness),,
,6,Mô hình kinh doanh,Content business - AdSense + Affiliate (Amazon; Flo; Natural Cycles; Oura; Whoop),,
,7,Owner,Stella Pham (solo founder; Vietnam),,
,8,Payment,Payoneer (30% US withholding default; W-8BEN validated for Amazon),,
,9,Target audience,Ambitious knowledge workers 25-40 (women),,
,10,USP,No diet/exercise prescriptions; cycle-aware planning for deep work,,
,11,Constraints,No paid analytics; No em dashes anywhere; Productivity positioning only (Phase 4 opens diet/workout),,
,12,Effort budget,6-12h/week (solo founder),,
,13,Test E gate,2026-05-19 - ≥1 post top 30 unlocks Phase 4,,
2. Nội dung,,,,,
,,,1. Phân tích đối thủ,Các đối thủ điển hình đang cạnh tranh cùng bộ từ khóa với Lumencal trên Google,Link
,,,2. Phân tích website,Phân tích tình hình content; cấu trúc; giao diện; quảng bá website,Link
,,,2.1. Tối ưu Onsite,13 hạng mục technical SEO,Link
,,,2.2. Tối ưu Giao diện,UX/UI optimization cho conversion,Link
,,,3. Bộ từ khóa,Từ khóa Cam kết (research từ Ahrefs Free + GSC),Link
,,,4. Triển khai Content,Content kéo traffic / chuyển đổi / nuôi dưỡng - 21 posts mapped,Link
,,,4.1. Glossary,Thuật ngữ cycle syncing (cho user + internal linking),Link
,,,4.2. Chiến lược content,Topical map theo AIDA funnel,Link
,,,5. Timeline,Giai đoạn triển khai SEO Branding (3 phases),Link
,,,6. Goals,Mục tiêu traffic + ranking phân bổ 12 tháng,Link
,,,7. KPI,KPI phân bổ + budget tracking,Link
