STT,Term,Funnel,Topic,URL slug,Translation (Vi),Definition (short),Priority,Linked from posts,Status
,,,,,,,,,
,A. SYMPTOMS & EXPERIENCES (Unaware funnel - entry from search),,,,,,,,
1,PMS (Premenstrual Syndrome),Unaware,Symptoms,/glossary/pms,Hội chứng tiền kinh nguyệt,Cluster of physical + mood symptoms in the 7-10 days before period. ~75% prevalence to some degree.,P0,#13 #17,Planned
2,PMDD (Premenstrual Dysphoric Disorder),Unaware,Symptoms,/glossary/pmdd,Rối loạn khí sắc tiền kinh nguyệt,Severe form of PMS (3-8% prevalence). Clinical diagnosis. Mood disturbance significant enough to impair daily life.,P0,#17,Planned
3,Period brain (cycle brain fog),Unaware,Symptoms,/glossary/period-brain,Sương mù não kỳ kinh,Subjective cognitive cloudiness during late luteal + early menstrual. Modest measurable effects on working memory.,P1,#7 #17,Planned
4,Energy crash (cycle-related fatigue),Unaware,Symptoms,/glossary/energy-crash,Tụt năng lượng theo chu kỳ,Predictable drop in energy correlated with phase transitions. Most pronounced late luteal + early menstrual.,P1,#9 #17,Planned
5,Premenstrual cravings,Unaware,Symptoms,/glossary/premenstrual-cravings,Cơn thèm ăn tiền kinh,Increased appetite + cravings (carbs/chocolate) in late luteal. Linked to serotonin + insulin fluctuation.,P2,#13 #20,Planned
6,Cyclical bloating,Unaware,Symptoms,/glossary/cyclical-bloating,Đầy hơi theo chu kỳ,Fluid retention in late luteal phase from progesterone-driven sodium retention.,P2,#13,Planned
7,Cyclical mood swings,Unaware,Symptoms,/glossary/cyclical-mood-swings,Thay đổi tâm trạng theo chu kỳ,Recurring mood pattern tied to phase. Predictable timing is diagnostic clue vs clinical mood disorder.,P2,#17,Planned
8,Hormonal acne,Unaware,Symptoms,/glossary/hormonal-acne,Mụn nội tiết,Acne pattern correlated with cycle (peaks late luteal). Driven by androgen + sebum interaction.,P1,-,Planned
9,Mittelschmerz (ovulation pain),Unaware,Symptoms,/glossary/mittelschmerz,Đau giữa chu kỳ,One-sided pelvic pain at ovulation. Usually harmless and brief (hours to 1 day).,P2,#12 #15,Planned
10,Cyclical breast tenderness,Unaware,Symptoms,/glossary/breast-tenderness,Đau tức ngực theo chu kỳ,Tender swollen breasts in late luteal. Progesterone-driven; resolves with period onset.,P2,#13,Planned
11,Dysmenorrhea (period pain),Unaware,Symptoms,/glossary/dysmenorrhea,Đau bụng kinh,Painful periods - primary (intrinsic) or secondary (from condition like endometriosis).,P0,#14,Planned
12,Menstrual migraine,Unaware,Symptoms,/glossary/menstrual-migraine,Đau nửa đầu chu kỳ,Migraine pattern timed to estrogen drop pre-period. Affects ~20% of women with migraines.,P1,-,Planned
13,Cyclical depression,Unaware,Symptoms,/glossary/cyclical-depression,Trầm cảm theo chu kỳ,Depressive symptoms timed to luteal phase. Distinct from major depressive disorder by timing.,P1,#17,Planned
14,Premenstrual anxiety,Unaware,Symptoms,/glossary/premenstrual-anxiety,Lo âu tiền kinh,Anxiety spikes in late luteal - linked to allopregnanolone withdrawal + GABA dysregulation.,P1,#17,Planned
15,Heavy menstrual bleeding (menorrhagia),Unaware,Symptoms,/glossary/menorrhagia,Rong kinh,Periods >7 days OR soaking through pad/tampon every 1-2 hours. Warrants medical evaluation.,P1,-,Planned
